epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2864.61,1.34517,1.4208,1.85474,0.47229,0.1683,0.15188,0.06374,2.40558,3.16379,2.48253,0.00091175,0.00091175,0.00091175
43,2933.47,1.40955,1.48757,1.88656,0.45939,0.20479,0.14974,0.05965,2.57428,3.00387,2.76413,0.0009035,0.0009035,0.0009035
44,3000.15,1.35204,1.44012,1.84143,0.44983,0.15967,0.13953,0.05012,2.65128,3.01503,2.91737,0.00089525,0.00089525,0.00089525
45,3066.89,1.38708,1.43574,1.89039,0.48385,0.1663,0.14699,0.05108,2.71618,3.13276,3.00888,0.000887,0.000887,0.000887
46,3133.25,1.32892,1.43539,1.83712,0.48844,0.20268,0.18232,0.05846,2.61876,3.0128,2.85309,0.00087875,0.00087875,0.00087875
47,3198.78,1.40657,1.47903,1.90088,0.74842,0.17114,0.16658,0.05475,2.61711,2.93113,2.78471,0.0008705,0.0008705,0.0008705
48,3265.93,1.33038,1.45103,1.85226,0.44881,0.1888,0.16428,0.05589,2.71081,2.98735,2.89718,0.00086225,0.00086225,0.00086225
49,3332.58,1.33397,1.36359,1.85621,0.45375,0.19764,0.15868,0.05875,2.45202,2.91637,2.68036,0.000854,0.000854,0.000854
50,3398.6,1.33792,1.401,1.85431,0.5085,0.21518,0.19176,0.07466,2.31566,2.90076,2.441,0.00084575,0.00084575,0.00084575
51,3464.92,1.3419,1.37569,1.85755,0.4357,0.19661,0.14111,0.0459,2.5363,3.22191,2.772,0.0008375,0.0008375,0.0008375
52,3531.69,1.30441,1.36749,1.83231,0.51336,0.20751,0.1912,0.07349,2.43307,2.89858,2.5779,0.00082925,0.00082925,0.00082925
53,3598.41,1.28274,1.35213,1.82005,0.51974,0.17777,0.16877,0.06374,2.48433,3.22511,2.65635,0.000821,0.000821,0.000821
54,3664.12,1.29666,1.31488,1.7991,0.42398,0.17114,0.13531,0.0424,2.59588,3.20643,2.91675,0.00081275,0.00081275,0.00081275
